('confirmFiles_click',),('addChart_click',),0.1055
('confirmFiles_click',),('downloadFiles_click',),0.0101
('confirmFiles_click',),('selectAction_clonar_gr�fico_change',),0.0251
('confirmFiles_click',),('selectAction_editar_selecci�n_de_ficheros_change',),0.0302
('deleteChart_click',),('distributionOneChart_click',),0.2602
('deleteChart_click',),('deleteChart_click',),0.374
('deleteChart_click',),('selectIndicators_grinding_power-stats_change',),0.0407
('deleteChart_click',),('addChart_click',),0.1138
('deleteChart_click',),('selectAction_clonar_gr�fico_change',),0.0163
('deleteChart_click',),('selectTransformations_grinding_center_change',),0.0325
('deleteChart_click',),('manualSelectionModal_click',),0.1138
('deleteChart_click',),('logout_click',),0.0163
('deleteChart_click',),('selectSignals_x1axisspeed_commanded_change',),0.0081
('deleteChart_click',),('selectMachine_110000556_dec_click',),0.0081
('deleteChart_click',),('selectTransformations_common_moving-average_change',),0.0081
('deleteChart_click',),('selectSignals_wheelhead2power_change',),0.0081
('distributionOneChart_click',),('selectSignals_wheelhead2power_change',),0.0769
('distributionOneChart_click',),('deleteChart_click',),0.0769
('distributionOneChart_click',),('editIndicatorParametersModalChart_0',),0.0192
('distributionOneChart_click',),('selectIndicators_grinding_power-stats_change',),0.0769
('distributionOneChart_click',),('manualSelectionModal_click',),0.3654
('distributionOneChart_click',),('addChart_click',),0.1923
('distributionOneChart_click',),('selectSignals_x1axisspeed_commanded_change',),0.0192
('distributionOneChart_click',),('selectAction_axis_limits_change',),0.0192
('distributionOneChart_click',),('selectIndicators_grinding_force-stats_change',),0.0192
('distributionOneChart_click',),('selectTransformations_common_moving-average_change',),0.0192
('distributionOneChart_click',),('selectMachine_110000556_dec_click',),0.0192
('distributionOneChart_click',),('distributionTwoCharts_click',),0.0577
('distributionOneChart_click',),('selectTransformations_grinding_center_change',),0.0192
('distributionOneChart_click',),('selectTransformations_common_fft_change',),0.0192
('selectMachine_lg1000_-_100672_idk_click', 'manualSelectionModal_click'),('updateFilesList_click',),1.0
('manualSelectionModal_click', 'updateFilesList_click'),('closeSelectFilesModal_click',),0.0538
('manualSelectionModal_click', 'updateFilesList_click'),('updateFilesList_click',),0.2043
('manualSelectionModal_click', 'updateFilesList_click'),('confirmFiles_click',),0.7204
('manualSelectionModal_click', 'updateFilesList_click'),('resetFilesFilters_click',),0.0108
('manualSelectionModal_click', 'updateFilesList_click'),('manualSelectionModal_click',),0.0108
('updateFilesList_click', 'closeSelectFilesModal_click'),('manualSelectionModal_click',),0.7143
('updateFilesList_click', 'closeSelectFilesModal_click'),('selectSignals_wheelhead2power_change',),0.1429
('updateFilesList_click', 'closeSelectFilesModal_click'),('addChart_click',),0.1429
('closeSelectFilesModal_click', 'manualSelectionModal_click'),('updateFilesList_click',),0.3
('closeSelectFilesModal_click', 'manualSelectionModal_click'),('confirmFiles_click',),0.5
('closeSelectFilesModal_click', 'manualSelectionModal_click'),('closeSelectFilesModal_click',),0.2
('closeSelectFilesModal_click', 'selectSignals_wheelhead2power_change'),('selectSignals_wheelhead2power_change',),1.0
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('selectSignals_wheelhead2speed_actual_change',),0.125
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('dataSchema_tdomonwh2x1z1_change',),0.0625
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('selectSignals_wheelhead2power_change',),0.1875
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('selectTransformations_grinding_center_change',),0.125
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('deleteChart_click',),0.0625
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('selectSignals_z1axisspeed_commanded_change',),0.0625
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('logout_click',),0.0625
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('selectSignals_x1axisspeed_commanded_change',),0.0625
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('selectAction_clonar_gr�fico_change',),0.0625
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('manualSelectionModal_click',),0.125
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2power_change'),('selectIndicators_grinding_power-stats_change',),0.0625
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change'),('selectSignals_x1axisforce_change',),0.6
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change'),('selectSignals_wheelhead2power_change',),0.2
('selectSignals_wheelhead2power_change', 'selectSignals_wheelhead2speed_actual_change'),('selectSignals_x1axisposition_actual_change',),0.2
('selectSignals_wheelhead2speed_actual_change', 'selectSignals_x1axisforce_change'),('selectSignals_z1axisforce_change',),1.0
('selectSignals_x1axisforce_change', 'selectSignals_z1axisforce_change'),('selectSignals_caxisspeed_actual_change',),1.0
('selectSignals_z1axisforce_change', 'selectSignals_caxisspeed_actual_change'),('manualSelectionModal_click',),0.3333
('selectSignals_z1axisforce_change', 'selectSignals_caxisspeed_actual_change'),('selectSignals_wheelhead2power_change',),0.3333
('selectSignals_z1axisforce_change', 'selectSignals_caxisspeed_actual_change'),('logout_click',),0.3333
('selectSignals_caxisspeed_actual_change', 'manualSelectionModal_click'),('confirmFiles_click',),1.0
('manualSelectionModal_click', 'confirmFiles_click'),('deleteChart_click',),0.1058
('manualSelectionModal_click', 'confirmFiles_click'),('selectSignals_wheelhead2power_change',),0.0096
('manualSelectionModal_click', 'confirmFiles_click'),('editIndicatorParametersModalChart_0',),0.0096
