sequence_id,ga_session_id,user_id,machine,page_location,start_date,end_date,steps,list_sequence,
13,1695712927,ggutierrezeizaguirre,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-09-26 07:22:15.676922+00:00,2023-09-26 07:26:31.275370+00:00,12,"['selectMachine_lg600b6-100636-idk_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'distributionOneChart_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'returnHome_click']",
14,1695719802,dbarrenetxea,110000556 DEC,http://dm2.ideko.es/,2023-09-26 09:16:48.285438+00:00,2023-09-26 09:16:57.707134+00:00,2,"['selectMachine_110000556_dec_click', 'logout_click']",
15,1695730441,dbarrenetxea,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-09-26 12:14:09.403727+00:00,2023-09-26 12:31:46.845169+00:00,72,"['selectMachine_lg600b6-100636-idk_click', 'manualSelectionModal_click', 'updateFilesList_click', 'updateFilesList_click', 'confirmFiles_click', 'deleteChart_click', 'deleteChart_click', 'selectTransformations_grinding_center_change', 'distributionOneChart_click', 'addChart_click', 'selectSignals_wheelhead2power_change', 'selectIndicators_grinding_power-stats_change', 'Radiobutton_fluid_oil_change', 'Radiobutton_fluid_water-based_change', 'confirmParameters_click', 'addChart_click', 'selectSignals_wheelhead2power_change', 'selectIndicators_grinding_specific-energy_change', 'Radiobutton_fluid_oil_change', 'Radiobutton_fluid_water-based_change', 'Radiobutton_fluid_water-based_change', 'confirmParameters_click', 'addChart_click', 'selectIndicators_grinding_force-stats_change', 'closeParametersModal_click', 'selectIndicators_grinding_defect-spark_change', 'Axis-list_x1_change', 'confirmParameters_click', 'addChart_click', 'selectIndicators_grinding_stiffness_change', 'confirmParameters_click', 'selectAction_axis_limits_change', 'confirmAxisLimits_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'manualSelectionModal_click', 'closeSelectFilesModal_click', 'manualSelectionModal_click', 'confirmFiles_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'manualSelectionModal_click', 'updateFilesList_click', 'updateFilesList_click', 'updateFilesList_click', 'confirmFiles_click', 'deleteChart_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'deleteChart_click', 'logout_click']",
18,1695974633,dbarrenetxea,110000556 DEC,http://dm2.ideko.es/,2023-09-29 08:04:04.466169+00:00,2023-09-29 08:05:26.142721+00:00,13,"['selectMachine_110000556_dec_click', 'distributionOneChart_click', 'manualSelectionModal_click', 'confirmFiles_click']",
19,1695985765,ggutierrezeizaguirre,110000556 DEC,http://dm2.ideko.es/,2023-09-29 11:12:09.709307+00:00,2023-09-29 11:37:29.389906+00:00,27,"['selectMachine_110000556_dec_click', 'manualSelectionModal_click', 'confirmFiles_click', 'selectIndicators_grinding_power-stats_change', 'selectIndicators_grinding_power-stats_change', 'closeParametersModal_click', 'selectIndicators_grinding_specific-energy_change', 'closeParametersModal_click', 'selectIndicators_grinding_power-stats_change', 'closeParametersModal_click', 'returnHome_click', 'selectMachine_110000556_dec_click', 'manualSelectionModal_click', 'confirmFiles_click', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'selectAction_axis_limits_change', 'confirmAxisLimits_click', 'selectTransformations_grinding_center_change', 'returnHome_click']",
20,1695985765,ggutierrezeizaguirre,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-09-29 11:09:32.851266+00:00,2023-09-29 11:37:29.389906+00:00,14,"['selectMachine_lg600b6-100636-idk_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'deleteChart_click', 'distributionOneChart_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'returnHome_click', 'selectMachine_lg600b6-100636-idk_click']",
22,1696235955,dbarrenetxea,110000556 DEC,http://dm2.ideko.es/,2023-10-02 08:39:22.607076+00:00,2023-10-02 08:39:34.001695+00:00,4,"['selectMachine_110000556_dec_click', 'manualSelectionModal_click', 'closeSelectFilesModal_click', 'logout_click']",
24,1696238934,jalvarez,LG600B6-100636-IDK,http://dm2.ideko.es/,2023-10-02 09:29:01.026736+00:00,2023-10-02 09:42:03.287568+00:00,17,"['selectMachine_lg600b6-100636-idk_click', 'manualSelectionModal_click', 'updateFilesList_click', 'closeSelectFilesModal_click', 'dataSchema_tdomonwh1x1_change', 'manualSelectionModal_click', 'confirmFiles_click', 'manualSelectionModal_click', 'updateFilesList_click', 'confirmFiles_click', 'selectSignals_caxisspeed_actual_change', 'manualSelectionModal_click', 'confirmFiles_click', 'manualSelectionModal_click', 'confirmFiles_click', 'manualSelectionModal_click', 'confirmFiles_click']",
25,1696243823,iricondo,DM2 Test,http://dm2.danobatgroup.com/,2023-10-02 10:50:51.074209+00:00,2023-10-02 10:52:02.479708+00:00,4,"['selectMachine_dm2_test_click', 'selectSignals_caxispower_change', 'selectIndicators_grinding_material-fed_change', 'confirmParameters_click']",
26,1696243823,iricondo,LG600-B8-110000578 LINAMAR,http://dm2.danobatgroup.com/,2023-10-02 10:50:44.267895+00:00,2023-10-02 11:00:48.520749+00:00,3,"['selectMachine_lg600-b8-110000578_linamar_click', 'selectMachine_lg600-b8-110000578_linamar_click']",
27,1696252126,dbarrenetxea,110000556 DEC,http://dm2.ideko.es/,2023-10-02 13:08:52.608764+00:00,2023-10-02 14:03:26.617640+00:00,34,"['selectMachine_110000556_dec_click', 'sliderLastDatId_click', 'manualSelectionModal_click', 'confirmFiles_click', 'manualSelectionModal_click', 'closeSelectFilesModal_click', 'logout_click', 'manualSelectionModal_click', 'confirmFiles_click', 'deleteChart_click', 'deleteChart_click', 'selectTransformations_grinding_center_change', 'selectTransformations_grinding_center_change', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'deleteChart_click', 'addChart_click', 'selectSignals_wheelhead2power_change', 'selectIndicators_grinding_power-stats_change', 'confirmParameters_click', 'selectIndicators_grinding_power-stats_change', 'closeParametersModal_click', 'logout_click']",
28,1696254542,ggutierrezeizaguirre,110000556 DEC,http://dm2.ideko.es/,2023-10-02 13:49:09.023638+00:00,2023-10-02 13:58:46.392775+00:00,33,"['selectMachine_110000556_dec_click', 'manualSelectionModal_click', 'confirmFiles_click', 'selectAction_axis_limits_change', 'confirmAxisLimits_click', 'selectAction_axis_limits_change', 'confirmAxisLimits_click', 'distributionOneChart_click', 'selectSignals_x1axisspeed_commanded_change', 'selectSignals_x1axisspeed_commanded_change', 'selectSignals_z1axisspeed_commanded_change', 'deleteChart_click', 'selectSignals_x1axisspeed_commanded_change', 'selectSignals_z1axisspeed_commanded_change', 'selectSignals_x1axisspeed_commanded_change', 'selectSignals_z1axisspeed_commanded_change', 'selectSignals_x1axisspeed_commanded_change', 'selectSignals_z1axisspeed_commanded_change', 'selectSignals_wheelhead2power_change', 'selectSignals_x1axisspeed_commanded_change', 'selectSignals_z1axisspeed_commanded_change', 'selectAction_axis_limits_change', 'confirmAxisLimits_click', 'selectAction_axis_limits_change', 'confirmAxisLimits_click', 'selectAction_axis_limits_change', 'confirmAxisLimits_click', 'selectSignals_x1axisposition_actual_change', 'selectSignals_x1axisposition_actual_change']",
