i,id,event_name,event_date,date_timestamp,event_timestamp,ga_session_id,event_label,page_path,int_value,page_location,value,user_id,dayofweek,hour,shift,machine
70,70,session_start,20230908,2023-09-08 06:53:36.184778+00:00,1694156016184778,1694156016,,,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,
71,71,page_view,20230908,2023-09-08 06:53:36.184778+00:00,1694156016184778,1694156016,,,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,
72,72,scroll,20230908,2023-09-08 06:53:37.718204+00:00,1694156017718204,1694156016,,,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,
73,73,selectMachine_LG400A-100645 (RECC07) TX_,20230908,2023-09-08 06:53:43.049855+00:00,1694156023049855,1694156016,,,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,LG400A-100645 (RECC07) TX
74,74,selectTransformations_0_change,20230908,2023-09-08 06:54:05.051664+00:00,1694156045051664,1694156016,"{""selectTransformations_0"":""""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,LG400A-100645 (RECC07) TX
75,75,selectTransformations_0_change,20230908,2023-09-08 06:54:05.051664+00:00,1694156045051664,1694156016,"{""selectTransformations_0"":""common,negate""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,LG400A-100645 (RECC07) TX
76,76,loadChart_0_click,20230908,2023-09-08 06:54:05.051664+00:00,1694156045051664,1694156016,"{""selectTransformations_0"":""common,negate""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,LG400A-100645 (RECC07) TX
77,77,user_engagement,20230908,2023-09-08 06:54:16.713661+00:00,1694156056713661,1694156016,,,,http://dm2.danobatgroup.com/,,agonzalez,6,6,t1,LG400A-100645 (RECC07) TX
82,82,session_start,20230908,2023-09-08 10:13:33.506317+00:00,1694168013506317,1694168013,,,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,
83,83,page_view,20230908,2023-09-08 10:13:33.506317+00:00,1694168013506317,1694168013,,,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,
84,84,scroll,20230908,2023-09-08 10:13:34.034408+00:00,1694168014034408,1694168013,,,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,
85,85,selectMachine_LG400A-100645 (RECC07) TX_,20230908,2023-09-08 10:13:53.237518+00:00,1694168033237518,1694168013,,,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
86,86,selectSignals_0_change,20230908,2023-09-08 10:14:48.176562+00:00,1694168088176562,1694168013,"{""selectSignals_0"":[""Wheelhead1Power""]}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
87,87,selectSignals_0_change,20230908,2023-09-08 10:14:48.176562+00:00,1694168088176562,1694168013,"{""selectSignals_0"":[""Wheelhead1Power"",""CAxisSpeed_actual"",""Wheelhead1Speed_actual""]}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
88,88,loadChart_0_click,20230908,2023-09-08 10:14:48.176562+00:00,1694168088176562,1694168013,"{""selectSignals_0"":[""Wheelhead1Power"",""CAxisSpeed_actual"",""Wheelhead1Speed_actual""]}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
89,89,selectTransformations_0_change,20230908,2023-09-08 10:16:35.696121+00:00,1694168195696121,1694168013,"{""selectTransformations_0"":""""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
90,90,selectTransformations_0_change,20230908,2023-09-08 10:16:35.696121+00:00,1694168195696121,1694168013,"{""selectTransformations_0"":""common,negate""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
91,91,loadChart_0_click,20230908,2023-09-08 10:16:35.696121+00:00,1694168195696121,1694168013,"{""selectTransformations_0"":""common,negate""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
92,92,selectIndicators_0_change,20230908,2023-09-08 10:16:52.343997+00:00,1694168212343997,1694168013,"{""selectIndicators_0"":""""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
93,93,selectIndicators_0_change,20230908,2023-09-08 10:18:21.735370+00:00,1694168301735370,1694168013,"{""selectIndicators_0"":""basic,basic-stats""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
94,94,Signal-list_change,20230908,2023-09-08 10:18:21.735370+00:00,1694168301735370,1694168013,"{""Signal-list"":""Wheelhead1Power""}",,,http://dm2.danobatgroup.com/,,agonzalez,6,10,t1,LG400A-100645 (RECC07) TX
